speaker,receiver,start,end,transcript,notes_challenges
,B,10:45,10:46,That's his left hand.,
,B,10:50,10:51,I'm actually left.,
,B,10:52,10:53,You heard me right.,
,All,10:54,10:56,This one has human mutation on it.,
,B,10:57,10:58,I don't know.,
,C,11:03,11:04,Nothing.,
,All,11:06,11:07,Do you think there's something under it?,
,All,11:10,11:13,See anything? I don't see anything.,
,C,11:15,11:17,You want to throw it on the ground really hard?,
,All,11:30,11:31,These ones are holding hands.,
,C,11:33,11:34,No.,
,All,11:44,11:47,Maybe I can figure this one out still,
,Zhou,11:48,11:50,Oh okay,
,All,12:03,12:05,Oh They are zombies,
,All,12:07,12:09,We gotta do something...,
,All,12:16,12:18,Oh yeah.,
,B,12:36,13:36,A little bit,
,All,12:42,12:44,"Oh, were there any in here",
,All,12:56,12:56,Okay,
,All,12:58,13:01,"I guess, how do we know we've captured it or didn't capture it?",
,All,13:12,13:13,Tik tok right now?,
,B,13:17,13:18,That's true.,
,B,13:19,13:20,That's up.,
,B,13:23,13:24,That's down.,
,B,13:28,13:30,This one is also left.,
,B,13:32,13:35,A little bit. Yeah I could see it,
,All,14:07,14:13,Does this give us any hints? oh my gosh. We are escaping the room. Okay um..,
,All,14:16,14:19,There is 230 degs inside the blackbox,
,All,14:21,14:23,Well it's a flying box.,
,B,14:42,14:44,It's concious. they're a walker. they're all concious,
,All,15:04,15:18,"The infected subjects show temporary reversal. I know you don't want to call it that yet but if this works it ends the zombie outbreak. The serums aren't the weapon, they're cures. Please don't shut the project down.",
,C,15:24,15:26,Aparently they are not connected.,
,D,15:45,15:47,"Um, yeah probably",
,D,15:48,15:49,That makes sense.,
,All,20:02,20:03,This one has to do with acid,
,B,20:05,20:05,Yeah,
,All,20:06,20:08,Then there's a scale.,
,All,20:10,20:12,And there are things in jars,
,All,20:17,20:20,Nothing under the table guys,
,Zhou,20:25,20:27,Oh these are what....,
,Zhou,20:28,20:29,These are not acid vials.,
,B,20:42,20:48,I was thinking about that I was like I don't know the eyes are kind of weak,
,C,20:50,20:52,Yeah,
,B,20:53,21:05,Oh weakest to zombies? Maybe the zombies like it the most or would that be probably like 2341,
,B,21:23,21:23,Uh pounds.,
,C,21:37,21:37,Uh Yeah.,
,All,21:40,21:43,Heart is kinda weak heart is kinda strong actually,
,D,21:51,21:53,Yeah I've only been trying 123 and 4,
,C,21:56,21:57,Yeah there's like all the way up to 9,
,C,21:58,22:01,I guess maybe it has to do with weight,
,All,22:02,22:06,Maybe the brain is weak and then you put in like...,
,B,22:10,22:11,I dont know weak as in like with the zombies,
,B,22:18,22:18,Yeah,
,B,22:19,22:19,Yeah,
,C,22:26,22:27,Yeah its gotta be something else,
,D,22:30,22:30,Oh maybe,
,C,22:36,22:36,I think they're just random,
,D,22:37,22:41,"You said e, b, what... e, b, a, h?",
,All,23:07,23:18,Sorry are we like.. I was thinking. h. oh. Wait they're both 8? What is b no b is 2. my bad,
,B,23:22,23:22,Okay,
,All,23:24,23:35,Wait so what...,
,All,23:29,23:31,"This one weights less, I think?",
,B,23:34,23:35,which between these,
,All,23:39,23:46,2.112... versus what okay so eyeballs are worthless so e?,
,A,24:12,24:18,Ah I thought we had it. Nope. You wanna how about someone else mess around with it.,
,A,24:29,24:30,I've been doing it wrong the whole time?!,
,A,24:34,24:35,Oh my,
,A,24:38,24:39,5582,
,All,24:45,24:50,Yeah that one didnt work. So that was... lightest to heaviest.,
,B,24:56,24:57,It's,
,B,25:00,25:01,Wait what?,
,B,25:02,25:02,Okay,
,B,25:12,25:12,Nope,
,B,25:22,25:22,1432?,
,A,25:29,25:30,That's really funny,
,A,25:38,25:39,Yeah,
,All,25:47,25:48,Nope,
,C,26:06,26:09,We need milk. There it is. yeah,
,C,26:17,26:17,Okay,
,Zhou,26:29,26:29,So we can keep it on milk,
,A,26:40,26:44,I can't believe I've been doing the wrong combination this whole time. That's so funny.,
,All,27:37,27:37,Nope,
,Zhou,27:55,27:56,Are the weights... right now.,
,All,28:12,28:13,Was it one of those. 4 1...,
,All,28:19,28:20,4132?,
,B,28:33,28:34,You can drink it.,
,B,28:39,28:39,Purple what,
,All,28:43,28:43,The light?,
,B,28:51,28:52,Oh maybe we mix them,
,A,29:03,30:03,How do these correspond to numbers?,
