speaker,receiver,start,end,transcript,notes_challenges
,B,6:06,6:08,from personal experience.,
,B,6:25,6:26,yeah so we've got a bunch of...,
,B,6:30,6:33,they're going to note subject one displays leadership qualities,
,B,6:36,6:48,"um, okay so this is like the lore of what happened here. some scientists were running an experiment with zombies and then things went wrong. so maybe we might find clues for the other stuff through this.",
,B,6:54,6:55,a lot,
,B,6:58,7:02,"five, one, one, three",
,B,7:15,7:17,we might be grasping at straws,
,B,7:18,7:20,"oh, they mentioned serums here",
,B,7:22,7:24,are the serums those little glass bottle things?,
,Other,7:27,7:28,"oh, tech issue",
,A,7:39,7:40,should we test them?,
,A,7:55,7:55,Milk?,
,D,8:13,8:14,did you read through these yet?,
,D,8:18,8:19,no but let's try it,
,D,8:26,8:27,yeah all the way back around past the first,
,D,8:41,8:44,"oh, there's colors here, I don't know if that means anything",
,D,8:45,8:47,do we have to actually read all this tiny text?,
,D,8:49,8:50,okay i'm not reading all that,
,D,8:55,8:58,do you want to see if there's any more numbers in here?,
,B and D,9:14,9:19,okay so i'm guessing we are the scientists that ran the experiment with the zombies,
,B and D,9:20,9:37,"that went wrong, yeah I think they did...if you read over here um it's like the serum did not restore life, it awakened something else entirely. they ate with that one",
,D,9:40,9:41,and then here's our zombie subject,
,All,10:00,10:01,"oh, red herrings",
,Other,10:03,10:03,thanks for the help guys,
,All,10:13,10:15,my camera moves when I raise my eyebrows,
,Other,10:17,10:20,"okay yay, so we have less to look at",
,B,10:34,10:39,"oh wait, are they already in order? yeah, I think they are in order already, yeah",
,B,10:40,10:40,oh wait hang on,
,B,10:43,10:43,yeah,
,B,10:44,10:45,yeah,
,All,10:55,11:00,"it's not about winning the escape room, it's just about showing teamwork",
,None,11:08,11:08,yeah,couldn't tell if talking to self or talking to other players
,None,11:11,11:12,left?,i think self
,None,11:14,11:15,down,i think self
,None,11:19,11:19,right,i think self
,None,11:21,11:22,"down, up",i think self
,A,11:34,11:35,oh it opens,
,A,11:36,11:36,nothing,
,B,11:38,11:47,"okay wait hang on, I tried the directions...what if just like throw it on the ground really hard and...",not sure who this was directed towards
,A,11:49,12:00,"okay, no i tried. so left, up down. I'm going to take that one as right, and then right, up",
,A,12:10,12:14,"ohh, um does that mean anything?",
,A,12:17,12:18,okay,
,Other,12:21,12:22,okay,
,All,12:40,12:43,they're zombies? wait why are they in lab coats though?,
,B,12:46,12:48,oh we're the zombies?,
,B,12:52,12:53,okay wait hang on.,
,B,13:03,13:04,wait what do you mean?,
,B,13:10,13:13,that we've managed to capture?,
,Other,13:20,13:21,oh is my mic broken again?,
,Other,13:33,13:37,"ahhh, ahhhh is it working?",
,Other,13:30,13:45,"you know I can just, we can just hold it, you know, like tik tokers, it's okay",
,B,13:50,13:52,yeah...the ones that have managed to,
,B,13:58,13:58,okay,
,All,14:17,14:35,"well their clothes are different. some of their clothes are ripped, does that make a difference? And some of them are in full lab coats.",
,D,14:28,14:31,"oh that's great cus we need four, right?",
,All,14:37,14:39,aye we got it guys,
,All,14:44,14:45,"oh yaaay, okay",
,B,15:16,15:17,yeeah,
,All,15:37,15:38,the serums guys,
,All,15:55,15:58,"um, so that's those things i'm guessing?",
,B,16:00,16:02,"oh shoot, okay",
,B,16:05,16:05,yeah,
,All,17:16,17:21,"oh well that changes things, okay. Find the right note I left for you?",
,Other,17:22,17:22,the correct,
,B,17:40,17:42,"um, have to do with this?",
,B,17:47,17:49,find the correct one,
,B,17:58,18:00,okay so only one of these is helpful to us,
,B,18:09,18:10,is that part of the escape room,
,B and D,18:41,18:54,"okay, what could possibly be in here that would connect this to that? Temporary reversal? Are we looking for something in here that indicates a test that showed reversal?",
,B,18:58,18:59,"okay not this one, let's skip this one",
,B,19:02,19:04,I assume they're all about zombies,
,B,19:14,19:15,okay this is possible,
,B,19:23,19:25,this doesn't sound like a reversal,
,D,19:35,19:38,"ahh, i think you got it",
,None,19:43,19:44,six rapid,unclear what was said
,None,19:49,19:56,"fever reversals, zombie transfer to cold storage B, continue monitoring tissue cures. okay is it possible?",
,B,20:03,20:04,uh that could also work I guess,
,B,20:13,20:14,okay so,
,All,20:22,20:33,"I haven't done one of these in forever, okay. 3, 12, 5, ahh we got it",
,All,20:35,20:35,okay,
,Other,21:00,21:03,oh these are acid? okay,
,All,21:12,21:14,from weakest to strongest in terms of what?,Kind of hard to tell who this was directed towards
,A,21:22,21:24,"what, they just kind of have like weak vibes? what do you",
,A and D,22:05,22:11,"oh, I mean I think if as long as we rank them from strongest to weakest that..it's only 1, 2, 3, 4, right? on the lock? okay",
,A,22:28,22:29,oh there are more numbers?,
,A,22:31,22:33,"oh okay never mind then, forget what I said",
,A and B,22:54,22:57,I feel like if it's just rank it from what weighs the most to the least that's like too simple,
,All,23:00,23:01,or am I overthinking it?,
,All,23:04,23:07,well what about the numbers on the jars? what are those meant to tell us?,
,All,23:30,23:37,So are...does that mean like these are infected and these are not? Or does that just mean that when they ordered props from amazon they didn't find any red ears?,
,Other,24:35,24:36,"um, how do you do this?",Referring to microphone
,Other,24:41,24:42,thank you,
,All,24:52,24:57,"um, does it have to do with if we weigh these in order, the weights correspond to",
,All,24:59,25:00,like if you do like,unsure who this was addressed to
,A,25:05,25:07,"okay, let's try that all again",
,A,25:12,25:15,maybe we should get a tutorial on all the locks before we start,
,A,25:50,25:51,try all the combos,
,D,26:14,26:16,"oh wait yeah, where'd we get 2855 from?",
,D,26:17,26:17,"oh, okay",
,All,26:23,26:30,"could we try, if we weigh them in order and take like their weights. like just do, i guess two for that one?",
,All,26:32,26:34,please don't be double digits,
,All,26:35,26:39,"oh never mind. oh wait these are in, oh does it, it doesn't specify what units we need",
